datetime,time_min,Loc_1080m,Loc_2160m,Loc_3240m,Loc_4320m
           2020-09-25 18:04:00,0,11.23909781,11.23219562,11.22529343,11.21839124
           2020-09-25 18:14:00,10,11.2394411,11.23253891,11.22632331,11.21976441
           2020-09-25 18:24:00,20,11.19924779,11.1923456,11.17840733,11.17217603
           2020-09-25 18:34:00,30,11.12265079,11.1157486,11.10816915,11.10055512
           2020-09-25 18:44:00,40,11.03644958,11.02954739,11.0258647,11.01824708
           2020-09-25 18:54:00,50,10.93684991,10.92994772,10.93847229,10.93166329
           2020-09-25 19:04:00,60,10.82541031,10.81850812,10.84750739,10.84399554
           2020-09-25 19:14:00,70,10.70044888,10.69354669,10.75259666,10.75637248
           2020-09-25 19:24:00,80,10.57173045,10.56482826,10.65205262,10.66868632
           2020-09-25 19:34:00,90,10.44127173,10.43436954,10.54594847,10.57996955
           2020-09-25 19:44:00,100,10.31333926,10.30643707,10.4347014,10.48912685
           2020-09-25 19:54:00,110,10.18689263,10.17999044,10.31964979,10.39519016
           2020-09-25 20:04:00,120,10.05618846,10.04928627,10.20191747,10.29760112
           2020-09-25 20:14:00,130,9.924439907,9.917537718,10.08142449,10.19619007
           2020-09-25 20:24:00,140,9.802076497,9.795174308,9.958797091,10.09091575
           2020-09-25 20:34:00,150,9.682091727,9.675189538,9.836785587,9.981996852
           2020-09-25 20:44:00,160,9.568324487,9.561422298,9.716430098,9.870314099
           2020-09-25 20:54:00,170,9.466518036,9.459615848,9.599360247,9.756971074
           2020-09-25 21:04:00,180,9.370578406,9.363676217,9.488099193,9.643349117
           2020-09-25 21:14:00,190,9.284157887,9.277255698,9.38348629,9.531215333
           2020-09-25 21:24:00,200,9.199970737,9.193068548,9.286781025,9.422283166
           2020-09-25 21:34:00,210,9.119903733,9.113001544,9.197354157,9.318242399
           2020-09-25 21:44:00,220,9.048620347,9.041718158,9.114748701,9.220317367
           2020-09-25 21:54:00,230,8.973779385,8.966877196,9.039304909,9.129301186
           2020-09-25 22:04:00,240,8.905581369,8.89867918,8.96863009,9.045741529
           2020-09-25 22:14:00,250,8.840067666,8.833165477,8.902550425,8.969401742
           2020-09-25 22:24:00,260,8.785153413,8.778251224,8.840102151,8.899811349
           2020-09-25 22:34:00,270,8.73277963,8.725877441,8.78211327,8.836174293
           2020-09-25 22:44:00,280,8.682437334,8.675535145,8.727793837,8.77783102
           2020-09-25 22:54:00,290,8.636820067,8.629917878,8.676428109,8.72398151
           2020-09-25 23:04:00,300,8.592705142,8.585802953,8.628050792,8.673772484
           2020-09-25 23:14:00,310,8.550829322,8.543927133,8.58216321,8.626510972
           2020-09-25 23:24:00,320,8.510674498,8.503772309,8.538576834,8.58158279
           2020-09-25 23:34:00,330,8.473512327,8.466610138,8.49711118,8.538535276
           2020-09-25 23:44:00,340,8.439239842,8.432337653,8.457938479,8.49707506
           2020-09-25 23:54:00,350,8.407373705,8.400471516,8.421242484,8.457121739
           2020-09-26 00:04:00,360,8.373610535,8.366708346,8.387105038,8.418772994
           2020-09-26 00:14:00,370,8.341400623,8.334498434,8.354691359,8.382237532
           2020-09-26 00:24:00,380,8.312637092,8.305734903,8.323915716,8.347597179
           2020-09-26 00:34:00,390,8.286036703,8.279134514,8.295070424,8.314932741
           2020-09-26 00:44:00,400,8.261918614,8.255016425,8.26813842,8.284370713
           2020-09-26 00:54:00,410,8.238026079,8.23112389,8.243148507,8.255991108
           2020-09-26 01:04:00,420,8.21871199,8.211809801,8.219644162,8.229824043
           2020-09-26 01:14:00,430,8.197213635,8.190311446,8.198105189,8.205746025
           2020-09-26 01:24:00,440,8.180386417,8.173484228,8.177584708,8.18368927
           2020-09-26 01:34:00,450,8.163502985,8.156600796,8.158651397,8.163353542
           2020-09-26 01:44:00,460,8.152031292,8.145129103,8.14089035,8.144555647
           2020-09-26 01:54:00,470,8.138992856,8.132090667,8.125090278,8.127039071
           2020-09-26 02:04:00,480,8.128598498,8.121696309,8.110567956,8.110750098
           2020-09-26 02:14:00,490,8.122470573,8.115568384,8.097586104,8.095534433
           2020-09-26 02:24:00,500,8.110611689,8.1037095,8.08674668,8.081350949
           2020-09-26 02:34:00,510,8.103285223,8.096383034,8.076533707,8.068338932
           2020-09-26 02:44:00,520,8.094725194,8.087823006,8.067668232,8.056361236
           2020-09-26 02:54:00,530,8.088398073,8.081495884,8.059626951,8.045479711
           2020-09-26 03:04:00,540,8.081862368,8.074960179,8.052639491,8.035672449
           2020-09-26 03:14:00,550,8.083714995,8.076812807,8.046408781,8.026982718
           2020-09-26 03:24:00,560,8.076430421,8.069528232,8.042440379,8.019391924
           2020-09-26 03:34:00,570,8.069723731,8.062821542,8.038476871,8.013186789
           2020-09-26 03:44:00,580,8.069631449,8.06272926,8.034425215,8.008144674
           2020-09-26 03:54:00,590,8.069237955,8.062335766,8.031477393,8.004011892
           2020-09-26 04:04:00,600,8.066601195,8.059699006,8.02932791,8.000777226
           2020-09-26 04:14:00,610,8.0625324,8.055630211,8.027302124,7.998350865
           2020-09-26 04:24:00,620,8.057182618,8.050280429,8.024965102,7.996500503
           2020-09-26 04:34:00,630,8.058965548,8.052063359,8.021983022,7.994922105
           2020-09-26 04:44:00,640,8.061242957,8.054340768,8.019843308,7.993280252
           2020-09-26 04:54:00,650,8.060208608,8.053306419,8.018585814,7.991603962
           2020-09-26 05:04:00,660,8.057789486,8.050887297,8.017462726,7.989970292
           2020-09-26 05:14:00,670,8.060559404,8.053657215,8.016179634,7.988337981
           2020-09-26 05:24:00,680,8.060511285,8.053609096,8.015834572,7.986646659
           2020-09-26 05:34:00,690,8.063399114,8.056496925,8.015778455,7.985102724
           2020-09-26 05:44:00,700,8.064511204,8.057609016,8.016582352,7.983788178
           2020-09-26 05:54:00,710,8.067655086,8.060752897,8.017775309,7.982909302
           2020-09-26 06:04:00,720,8.065653523,8.058751334,8.019683795,7.982557562
           2020-09-26 06:14:00,730,8.076448716,8.069546527,8.028970531,7.990742482
           2020-09-26 06:24:00,740,8.098477763,8.091575574,8.051509976,8.012230118
           2020-09-26 06:34:00,750,8.129312323,8.122410134,8.086236266,8.046433408
           2020-09-26 06:44:00,760,8.167391425,8.160489236,8.131837394,8.092734953
           2020-09-26 06:54:00,770,8.205718312,8.198816123,8.18690291,8.150372749
           2020-09-26 07:04:00,780,8.250695478,8.243793289,8.248797095,8.21840836
           2020-09-26 07:14:00,790,8.294300604,8.287398415,8.316557253,8.29548778
           2020-09-26 07:24:00,800,8.338890788,8.331988599,8.387814446,8.380238182
           2020-09-26 07:34:00,810,8.38924111,8.382338921,8.461074393,8.471007338
           2020-09-26 07:44:00,820,8.444292792,8.437390603,8.53618794,8.566098812
           2020-09-26 07:54:00,830,8.505358127,8.498455938,8.6130417,8.664089795
           2020-09-26 08:04:00,840,8.570699027,8.563796838,8.692015199,8.763847354
           2020-09-26 08:14:00,850,8.64296978,8.636067591,8.773264406,8.864624338
           2020-09-26 08:24:00,860,8.718917439,8.71201525,8.857593788,8.965982938
           2020-09-26 08:34:00,870,8.797999083,8.791096894,8.945124589,9.067887909
           2020-09-26 08:44:00,880,8.896184642,8.889282453,9.035850418,9.170501497
           2020-09-26 08:54:00,890,8.999116493,8.992214304,9.1330413,9.274096739
           2020-09-26 09:04:00,900,9.113515052,9.106612863,9.236655531,9.37967985
           2020-09-26 09:14:00,910,9.249894537,9.242992348,9.347890284,9.488194181
           2020-09-26 09:24:00,920,9.404235775,9.397333586,9.469864068,9.600721533
           2020-09-26 09:34:00,930,9.568676105,9.561773916,9.604421749,9.71881836
           2020-09-26 09:44:00,940,9.739255139,9.73235295,9.751377561,9.844168415
           2020-09-26 09:54:00,950,9.903600912,9.896698723,9.909466773,9.978105581
           2020-09-26 10:04:00,960,10.06947832,10.06257614,10.07472663,10.12138078
           2020-09-26 10:14:00,970,10.23458274,10.22768055,10.24498087,10.27363184
           2020-09-26 10:24:00,980,10.39843429,10.3915321,10.41776213,10.43385484
           2020-09-26 10:34:00,990,10.55960183,10.55269964,10.59082733,10.60044479
           2020-09-26 10:44:00,1000,10.72011176,10.71320957,10.762045,10.77136419
           2020-09-26 10:54:00,1010,10.85961957,10.85271739,10.93018212,10.94429154
           2020-09-26 11:04:00,1020,10.99709535,10.99019316,11.09023527,11.11692764
           2020-09-26 11:14:00,1030,11.11587217,11.10896998,11.24191088,11.286304
           2020-09-26 11:24:00,1040,11.21175959,11.2048574,11.38192523,11.44989325
           2020-09-26 11:34:00,1050,11.28484178,11.27793959,11.50679206,11.60502923
           2020-09-26 11:44:00,1060,11.35252316,11.34562097,11.61373777,11.74892358
           2020-09-26 11:54:00,1070,11.40959123,11.40268904,11.70425531,11.87885529
           2020-09-26 12:04:00,1080,11.46811167,11.46120949,11.77905065,11.99307002
           2020-09-26 12:14:00,1090,11.53831257,11.53141038,11.841571,12.09054158
           2020-09-26 12:24:00,1100,11.6129631,11.60606091,11.89728876,12.17145017
           2020-09-26 12:34:00,1110,11.69975214,11.69284996,11.94973397,12.23744589
           2020-09-26 12:44:00,1120,11.78570955,11.77880736,12.00353247,12.2910319
           2020-09-26 12:54:00,1130,11.85755663,11.85065444,12.0598764,12.33559189
           2020-09-26 13:04:00,1140,11.89475735,11.88785516,12.11659556,12.37445942
           2020-09-26 13:14:00,1150,11.92323848,11.91633629,12.16690308,12.41006957
           2020-09-26 13:24:00,1160,11.92954226,11.92264007,12.20953371,12.44294157
           2020-09-26 13:34:00,1170,11.93287689,11.92597471,12.24038063,12.47290174
           2020-09-26 13:44:00,1180,11.93039377,11.92349158,12.25965357,12.49855154
           2020-09-26 13:54:00,1190,11.92097047,11.91406828,12.26714448,12.51831473
           2020-09-26 14:04:00,1200,11.90425128,11.89734909,12.26268563,12.53046955
           2020-09-26 14:14:00,1210,11.89371302,11.88681083,12.24634578,12.53328987
           2020-09-26 14:24:00,1220,11.88151112,11.87460893,12.22129426,12.52521866
           2020-09-26 14:34:00,1230,11.87402535,11.86712316,12.18909746,12.50561185
           2020-09-26 14:44:00,1240,11.88618257,11.87928038,12.15267852,12.4744218
           2020-09-26 14:54:00,1250,11.89402906,11.88712687,12.11788117,12.43247412
           2020-09-26 15:04:00,1260,11.91426305,11.90736086,12.0850165,12.38200511
           2020-09-26 15:14:00,1270,11.91011933,11.90321714,12.05754641,12.32535298
           2020-09-26 15:24:00,1280,11.9069783,11.90007611,12.03066672,12.26550335
           2020-09-26 15:34:00,1290,11.89823896,11.89133677,12.00478762,12.20420395
           2020-09-26 15:44:00,1300,11.88284648,11.87594429,11.97860893,12.14301577
           2020-09-26 15:54:00,1310,11.86832793,11.86142574,11.95045666,12.08288189
           2020-09-26 16:04:00,1320,11.84510365,11.83820146,11.92019514,12.02403368
           2020-09-26 16:14:00,1330,11.81196503,11.80506284,11.88566485,11.96634061
           2020-09-26 16:24:00,1340,11.76340297,11.75650079,11.84466056,11.90893366
           2020-09-26 16:34:00,1350,11.68927888,11.68237669,11.79415741,11.85030085
           2020-09-26 16:44:00,1360,11.60050054,11.59359835,11.72952104,11.78824885
           2020-09-26 16:54:00,1370,11.51439576,11.50749357,11.64911881,11.71972978
           2020-09-26 17:04:00,1380,11.43994098,11.43303879,11.55553913,11.64165914
           2020-09-26 17:14:00,1390,11.35015196,11.34324977,11.45353981,11.55193667
           2020-09-26 17:24:00,1400,11.25055985,11.24365766,11.34227976,11.44994475
           2020-09-26 17:34:00,1410,11.13224242,11.12534023,11.22231616,11.33534346
           2020-09-26 17:44:00,1420,11.003318,10.99641581,11.09240888,11.20834853
           2020-09-26 17:54:00,1430,10.88235137,10.87544918,10.95492225,11.0711007
           2020-09-26 18:04:00,1440,10.79297794,10.78607575,10.82512167,10.9356494
           2020-09-26 18:14:00,1450,10.69917033,10.69226814,10.70844998,10.80307803
           2020-09-26 18:24:00,1460,10.59239306,10.58549087,10.60239933,10.67586012
           2020-09-26 18:34:00,1470,10.46653949,10.4596373,10.50259713,10.55588067
           2020-09-26 18:44:00,1480,10.34473425,10.33783206,10.40347197,10.44390252
           2020-09-26 18:54:00,1490,10.22549767,10.21859548,10.30455425,10.3392699
           2020-09-26 19:04:00,1500,10.11494828,10.10804609,10.20515406,10.24101333
           2020-09-26 19:14:00,1510,10.01436939,10.0074672,10.10604009,10.14783416
           2020-09-26 19:24:00,1520,9.905694201,9.898792012,10.0083871,10.0584807
           2020-09-26 19:34:00,1530,9.786998646,9.780096457,9.90973538,9.971906977
           2020-09-26 19:44:00,1540,9.665014229,9.65811204,9.807617635,9.886590691
           2020-09-26 19:54:00,1550,9.548381415,9.541479226,9.701413175,9.800657024
           2020-09-26 20:04:00,1560,9.435638241,9.428736052,9.592642277,9.712383693
           2020-09-26 20:14:00,1570,9.32808193,9.321179741,9.48267798,9.620723688
           2020-09-26 20:24:00,1580,9.2252565,9.218354311,9.373239523,9.525288967
           2020-09-26 20:34:00,1590,9.130386804,9.123484615,9.265896379,9.426398156
           2020-09-26 20:44:00,1600,9.036944122,9.030041933,9.162730377,9.32497566
           2020-09-26 20:54:00,1610,8.951339111,8.944436922,9.064164253,9.222555918
           2020-09-26 21:04:00,1620,8.87225918,8.865356991,8.971683597,9.120803645
           2020-09-26 21:14:00,1630,8.799601691,8.792699502,8.886109719,9.021613789
           2020-09-26 21:24:00,1640,8.733297649,8.726395461,8.807867976,8.926841414
           2020-09-26 21:34:00,1650,8.672467047,8.665564858,8.737028963,8.838113141
           2020-09-26 21:44:00,1660,8.613340027,8.606437838,8.673202469,8.756680719
           2020-09-26 21:54:00,1670,8.558302806,8.551400617,8.615033535,8.683293325
           2020-09-26 22:04:00,1680,8.503058542,8.496156353,8.561640119,8.618011106
           2020-09-26 22:14:00,1690,8.454392417,8.447490228,8.51129398,8.560371167
           2020-09-26 22:24:00,1700,8.410235408,8.403333219,8.463881906,8.50930628
           2020-09-26 22:34:00,1710,8.369721887,8.362819698,8.419032416,8.463611613
           2020-09-26 22:44:00,1720,8.329095145,8.322192956,8.376422589,8.422008245
           2020-09-26 22:54:00,1730,8.294492658,8.287590469,8.335189789,8.383267879
           2020-09-26 23:04:00,1740,8.260871718,8.253969529,8.296024342,8.346196464
           2020-09-26 23:14:00,1750,8.233671416,8.226769227,8.258710486,8.310034518
           2020-09-26 23:24:00,1760,8.203394111,8.196491922,8.224314403,8.274290349
           2020-09-26 23:34:00,1770,8.177779756,8.170877567,8.191927318,8.239005309
           2020-09-26 23:44:00,1780,8.155434267,8.148532079,8.162324569,8.204289511
           2020-09-26 23:54:00,1790,8.137440552,8.130538363,8.135905216,8.170621178
           2020-09-27 00:04:00,1800,8.120660782,8.113758593,8.113182162,8.138677392
           2020-09-27 00:14:00,1810,8.106103422,8.099201233,8.093862047,8.1092647
           2020-09-27 00:24:00,1820,8.089713415,8.082811226,8.077750861,8.083060164
           2020-09-27 00:34:00,1830,8.076996512,8.070094323,8.063709383,8.060566726
           2020-09-27 00:44:00,1840,8.063687375,8.056785187,8.051744299,8.041873153
           2020-09-27 00:54:00,1850,8.053094906,8.046192717,8.040947527,8.026891398
           2020-09-27 01:04:00,1860,8.043078883,8.036176694,8.031181447,8.015177803
           2020-09-27 01:14:00,1870,8.038511913,8.031609724,8.021940975,8.006142847
           2020-09-27 01:24:00,1880,8.033442676,8.026540487,8.013870925,7.999031734
           2020-09-27 01:34:00,1890,8.03097601,8.024073821,8.00645182,7.993235163
           2020-09-27 01:44:00,1900,8.026729707,8.019827518,7.999961069,7.988101044
           2020-09-27 01:54:00,1910,8.021202286,8.014300097,7.993854049,7.983161134
           2020-09-27 02:04:00,1920,8.014933337,8.008031148,7.987817197,7.977993879
           2020-09-27 02:14:00,1930,8.010387319,8.00348513,7.98174371,7.972298629
           2020-09-27 02:24:00,1940,8.005652656,7.998750467,7.976094833,7.965941621
           2020-09-27 02:34:00,1950,7.996425423,7.989523234,7.970916999,7.959054749
           2020-09-27 02:44:00,1960,7.992800331,7.985898142,7.965338069,7.951904414
           2020-09-27 02:54:00,1970,7.991005406,7.984103217,7.960608703,7.944649518
           2020-09-27 03:04:00,1980,7.984994488,7.978092299,7.957058621,7.937742142
           2020-09-27 03:14:00,1990,7.981083576,7.974181387,7.953663529,7.93166649
           2020-09-27 03:24:00,2000,7.977252519,7.97035033,7.950716502,7.926607072
           2020-09-27 03:34:00,2010,7.973905251,7.967003062,7.948027983,7.922706819
           2020-09-27 03:44:00,2020,7.9702991,7.963396911,7.945482155,7.919950311
           2020-09-27 03:54:00,2030,7.971287083,7.964384894,7.942818919,7.918187235
           2020-09-27 04:04:00,2040,7.967999525,7.961097337,7.940831915,7.917125579
           2020-09-27 04:14:00,2050,7.966986709,7.96008452,7.93845549,7.916588283
           2020-09-27 04:24:00,2060,7.96431841,7.957416221,7.936108693,7.916154307
           2020-09-27 04:34:00,2070,7.96209629,7.955194101,7.933426671,7.915522835
           2020-09-27 04:44:00,2080,7.961857389,7.9549552,7.930564314,7.914380442
           2020-09-27 04:54:00,2090,7.960597129,7.953694941,7.928035198,7.912541046
           2020-09-27 05:04:00,2100,7.961299437,7.954397248,7.925719762,7.91003218
           2020-09-27 05:14:00,2110,7.963250601,7.956348412,7.924128376,7.906954289
           2020-09-27 05:24:00,2120,7.964486432,7.957584243,7.923565402,7.903597306
           2020-09-27 05:34:00,2130,7.969161238,7.962259049,7.923857083,7.900362506
           2020-09-27 05:44:00,2140,7.96683554,7.959933351,7.925641994,7.89762252
           2020-09-27 05:54:00,2150,7.972438682,7.965536493,7.927273336,7.895854596
           2020-09-27 06:04:00,2160,7.970370662,7.963468473,7.930262325,7.895121013
           2020-09-27 06:14:00,2170,7.979970535,7.973068346,7.93882184,7.901814095
           2020-09-27 06:24:00,2180,7.999035482,7.992133293,7.960718549,7.922521309
           2020-09-27 06:34:00,2190,8.032640996,8.025738807,7.99437054,7.956532731
           2020-09-27 06:44:00,2200,8.067541819,8.06063963,8.039580812,8.002969141
           2020-09-27 06:54:00,2210,8.110160869,8.10325868,8.093581057,8.061025286
           2020-09-27 07:04:00,2220,8.156003613,8.149101424,8.155294206,8.129425583
           2020-09-27 07:14:00,2230,8.206920333,8.200018144,8.222977004,8.206831575
           2020-09-27 07:24:00,2240,8.260068472,8.253166283,8.295603289,8.291748026
           2020-09-27 07:34:00,2250,8.318716615,8.311814426,8.371852047,8.382727085
           2020-09-27 07:44:00,2260,8.380045617,8.373143428,8.451396885,8.478344661
           2020-09-27 07:54:00,2270,8.440919746,8.434017557,8.533555774,8.577436511
           2020-09-27 08:04:00,2280,8.506864994,8.499962805,8.617218105,8.679022735
           2020-09-27 08:14:00,2290,8.577973708,8.571071519,8.702648096,8.782204742
           2020-09-27 08:24:00,2300,8.657445439,8.65054325,8.790226883,8.886429537
           2020-09-27 08:34:00,2310,8.737057361,8.730155172,8.881040183,8.99146107
           2020-09-27 08:44:00,2320,8.824439297,8.817537108,8.974399772,9.09746271
           2020-09-27 08:54:00,2330,8.919772679,8.91287049,9.071221689,9.204548923
           2020-09-27 09:04:00,2340,9.02238887,9.015486681,9.172345592,9.313067758
           2020-09-27 09:14:00,2350,9.125981145,9.119078956,9.27833376,9.423519368
           2020-09-27 09:24:00,2360,9.241231454,9.234329265,9.388300268,9.536443941
           2020-09-27 09:34:00,2370,9.36186557,9.354963381,9.503551153,9.652083387
           2020-09-27 09:44:00,2380,9.483495342,9.476593153,9.623922521,9.770838066
           2020-09-27 09:54:00,2390,9.615290877,9.608388688,9.748278943,9.892945482
