datetime,time_min,us_station_obs,ds_station_obs,par,avgtemp
           2020-09-25 18:04:00,0,11.246,11.427,0,10.043
           2020-09-25 18:14:00,10,11.285,11.412,0,10.0615
           2020-09-25 18:24:00,20,11.186,11.315,0,10.084
           2020-09-25 18:34:00,30,11.114,11.226,0,10.098
           2020-09-25 18:44:00,40,10.983,11.107,0,10.084
           2020-09-25 18:54:00,50,10.828,10.984,0,10.084
           2020-09-25 19:04:00,60,10.643,10.829,0,10.0705
           2020-09-25 19:14:00,70,10.485,10.674,0,10.0385
           2020-09-25 19:24:00,80,10.331,10.543,0,10.0065
           2020-09-25 19:34:00,90,10.195,10.391,0,10.0065
           2020-09-25 19:44:00,100,10.057,10.25,0,9.979
           2020-09-25 19:54:00,110,9.893,10.121,0,9.965
           2020-09-25 20:04:00,120,9.739,9.993,0,9.947
           2020-09-25 20:14:00,130,9.634,9.861,0,9.938
           2020-09-25 20:24:00,140,9.507,9.748,0,9.947
           2020-09-25 20:34:00,150,9.401,9.635,0,9.9515
           2020-09-25 20:44:00,160,9.33,9.517,0,9.9425
           2020-09-25 20:54:00,170,9.244,9.418,0,9.9425
           2020-09-25 21:04:00,180,9.182,9.327,0,9.915
           2020-09-25 21:14:00,190,9.096,9.246,0,9.9105
           2020-09-25 21:24:00,200,9.021,9.162,0,9.892
           2020-09-25 21:34:00,210,8.973,9.106,0,9.869
           2020-09-25 21:44:00,220,8.876,9.042,0,9.8645
           2020-09-25 21:54:00,230,8.823,8.972,0,9.86
           2020-09-25 22:04:00,240,8.759,8.91,0,9.86
           2020-09-25 22:14:00,250,8.736,8.846,0,9.8555
           2020-09-25 22:24:00,260,8.687,8.804,0,9.8415
           2020-09-25 22:34:00,270,8.638,8.764,0,9.851
           2020-09-25 22:44:00,280,8.604,8.721,0,9.837
           2020-09-25 22:54:00,290,8.56,8.683,0,9.828
           2020-09-25 23:04:00,300,8.521,8.646,0,9.8235
           2020-09-25 23:14:00,310,8.482,8.607,0,9.823
           2020-09-25 23:24:00,320,8.451,8.573,0,9.819
           2020-09-25 23:34:00,330,8.423,8.554,0,9.791
           2020-09-25 23:44:00,340,8.396,8.528,0,9.8005
           2020-09-25 23:54:00,350,8.351,8.491,0,9.791
           2020-09-26 00:04:00,360,8.32,8.469,0,9.759
           2020-09-26 00:14:00,370,8.3,8.457,0,9.75
           2020-09-26 00:24:00,380,8.278,8.431,0,9.7225
           2020-09-26 00:34:00,390,8.26,8.419,0,9.695
           2020-09-26 00:44:00,400,8.234,8.388,0,9.6765
           2020-09-26 00:54:00,410,8.229,8.379,0,9.663
           2020-09-26 01:04:00,420,8.197,8.383,0,9.644
           2020-09-26 01:14:00,430,8.195,8.354,0,9.6215
           2020-09-26 01:24:00,440,8.176,8.346,0,9.603
           2020-09-26 01:34:00,450,8.183,8.328,0,9.594
           2020-09-26 01:44:00,460,8.163,8.307,0,9.5895
           2020-09-26 01:54:00,470,8.161,8.308,0,9.566
           2020-09-26 02:04:00,480,8.17,8.299,0,9.543
           2020-09-26 02:14:00,490,8.136,8.289,0,9.534
           2020-09-26 02:24:00,500,8.144,8.283,0,9.511
           2020-09-26 02:34:00,510,8.13,8.274,0,9.5205
           2020-09-26 02:44:00,520,8.131,8.277,0,9.4925
           2020-09-26 02:54:00,530,8.123,8.262,0,9.488
           2020-09-26 03:04:00,540,8.156,8.267,0,9.4415
           2020-09-26 03:14:00,550,8.115,8.25,0,9.46
           2020-09-26 03:24:00,560,8.109,8.264,0,9.456
           2020-09-26 03:34:00,570,8.133,8.271,0,9.4235
           2020-09-26 03:44:00,580,8.132,8.267,0,9.4145
           2020-09-26 03:54:00,590,8.121,8.267,0,9.405
           2020-09-26 04:04:00,600,8.111,8.261,0,9.4095
           2020-09-26 04:14:00,610,8.1,8.276,0,9.391
           2020-09-26 04:24:00,620,8.128,8.267,0,9.3725
           2020-09-26 04:34:00,630,8.133,8.269,0,9.3635
           2020-09-26 04:44:00,640,8.12,8.272,0,9.3495
           2020-09-26 04:54:00,650,8.112,8.274,0,9.359
           2020-09-26 05:04:00,660,8.134,8.28,0,9.3265
           2020-09-26 05:14:00,670,8.124,8.275,0,9.331
           2020-09-26 05:24:00,680,8.138,8.282,0,9.3125
           2020-09-26 05:34:00,690,8.133,8.285,0,9.2755
           2020-09-26 05:44:00,700,8.144,8.282,0,9.2755
           2020-09-26 05:54:00,710,8.123,8.292,0,9.2335
           2020-09-26 06:04:00,720,8.144,8.281,41.65379184,9.2105
           2020-09-26 06:14:00,730,8.148,8.283,111.3913199,9.2015
           2020-09-26 06:24:00,740,8.154,8.296,180.8151669,9.174
           2020-09-26 06:34:00,750,8.163,8.299,249.7931171,9.1645
           2020-09-26 06:44:00,760,8.147,8.297,318.1938039,9.1645
           2020-09-26 06:54:00,770,8.162,8.295,385.8869604,9.1415
           2020-09-26 07:04:00,780,8.147,8.316,452.7436669,9.1415
           2020-09-26 07:14:00,790,8.142,8.315,518.6365966,9.1275
           2020-09-26 07:24:00,800,8.162,8.339,583.4402587,9.072
           2020-09-26 07:34:00,810,8.185,8.361,647.0312363,9.053
           2020-09-26 07:44:00,820,8.221,8.387,709.2884225,9.0205
           2020-09-26 07:54:00,830,8.257,8.417,770.0932502,8.9925
           2020-09-26 08:04:00,840,8.312,8.479,829.3299187,8.965
           2020-09-26 08:14:00,850,8.361,8.533,886.8856135,8.951
           2020-09-26 08:24:00,860,8.413,8.602,942.6507216,8.9555
           2020-09-26 08:34:00,870,8.547,8.678,996.51904,8.951
           2020-09-26 08:44:00,880,8.637,8.792,1048.387978,8.9555
           2020-09-26 08:54:00,890,8.766,8.917,1098.158754,8.942
           2020-09-26 09:04:00,900,8.961,9.108,1145.73658,8.965
           2020-09-26 09:14:00,910,9.165,9.305,1191.030846,9.021
           2020-09-26 09:24:00,920,9.354,9.445,1233.95529,9.0435
           2020-09-26 09:34:00,930,9.537,9.575,1274.428165,9.1045
           2020-09-26 09:44:00,940,9.669,9.716,1312.372391,9.1365
           2020-09-26 09:54:00,950,9.832,9.865,1347.715705,9.1645
           2020-09-26 10:04:00,960,9.988,10.057,1380.390796,9.22
           2020-09-26 10:14:00,970,10.143,10.179,1410.335437,9.294
           2020-09-26 10:24:00,980,10.292,10.367,1437.492598,9.359
           2020-09-26 10:34:00,990,10.45,10.496,1461.81056,9.414
           2020-09-26 10:44:00,1000,10.512,10.669,1483.24301,9.483
           2020-09-26 10:54:00,1010,10.642,10.794,1501.749131,9.5705
           2020-09-26 11:04:00,1020,10.693,10.915,1517.293679,9.6255
           2020-09-26 11:14:00,1030,10.704,11.015,1529.847049,9.6535
           2020-09-26 11:24:00,1040,10.691,11.144,1539.385336,9.69
           2020-09-26 11:34:00,1050,10.738,11.203,1545.890372,9.727
           2020-09-26 11:44:00,1060,10.758,11.239,1549.349771,9.718
           2020-09-26 11:54:00,1070,10.827,11.408,1549.756943,9.8135
           2020-09-26 12:04:00,1080,10.951,11.538,1547.111114,9.9095
           2020-09-26 12:14:00,1090,11.058,11.588,1541.417323,10.033
           2020-09-26 12:24:00,1100,11.21,11.67,1532.686414,10.152
           2020-09-26 12:34:00,1110,11.317,11.733,1520.935013,10.266
           2020-09-26 12:44:00,1120,11.361,11.752,1506.185503,10.3705
           2020-09-26 12:54:00,1130,11.291,11.824,1488.465973,10.4385
           2020-09-26 13:04:00,1140,11.306,11.839,1467.81017,10.4935
           2020-09-26 13:14:00,1150,11.25,11.867,1444.257431,10.5155
           2020-09-26 13:24:00,1160,11.263,11.802,1417.852613,10.502
           2020-09-26 13:34:00,1170,11.263,11.848,1388.646004,10.4835
           2020-09-26 13:44:00,1180,11.254,11.896,1356.693225,10.5195
           2020-09-26 13:54:00,1190,11.238,11.807,1322.055131,10.474
           2020-09-26 14:04:00,1200,11.281,11.743,1284.797689,10.393
           2020-09-26 14:14:00,1210,11.297,11.72,1244.991854,10.3795
           2020-09-26 14:24:00,1220,11.344,11.711,1202.713436,10.3655
           2020-09-26 14:34:00,1230,11.471,11.694,1158.042953,10.393
           2020-09-26 14:44:00,1240,11.509,11.748,1111.065478,10.4615
           2020-09-26 14:54:00,1250,11.623,11.746,1061.870479,10.5295
           2020-09-26 15:04:00,1260,11.577,11.746,1010.551646,10.5615
           2020-09-26 15:14:00,1270,11.624,11.784,957.2067134,10.616
           2020-09-26 15:24:00,1280,11.643,11.866,901.9372761,10.693
           2020-09-26 15:34:00,1290,11.652,11.851,844.8485927,10.7295
           2020-09-26 15:44:00,1300,11.691,11.844,786.0493868,10.82
           2020-09-26 15:54:00,1310,11.687,11.887,725.6516397,10.9145
           2020-09-26 16:04:00,1320,11.668,11.993,663.770377,11.027
           2020-09-26 16:14:00,1330,11.612,11.907,600.5234496,11.054
           2020-09-26 16:24:00,1340,11.49,11.859,536.0313091,11.099
           2020-09-26 16:34:00,1350,11.391,11.735,470.4167789,11.1525
           2020-09-26 16:44:00,1360,11.36,11.658,403.8048196,11.1795
           2020-09-26 16:54:00,1370,11.378,11.562,336.3222916,11.2325
           2020-09-26 17:04:00,1380,11.282,11.456,268.097713,11.2855
           2020-09-26 17:14:00,1390,11.194,11.397,199.2610154,11.2985
           2020-09-26 17:24:00,1400,11.052,11.301,129.9432959,11.3475
           2020-09-26 17:34:00,1410,10.927,11.222,60.2765678,11.361
           2020-09-26 17:44:00,1420,10.871,11.263,0,11.4235
           2020-09-26 17:54:00,1430,10.885,11.177,0,11.442
           2020-09-26 18:04:00,1440,10.765,11.014,0,11.478
           2020-09-26 18:14:00,1450,10.597,10.81,0,11.4735
           2020-09-26 18:24:00,1460,10.383,10.671,0,11.4695
           2020-09-26 18:34:00,1470,10.257,10.642,0,11.501
           2020-09-26 18:44:00,1480,10.13,10.484,0,11.5505
           2020-09-26 18:54:00,1490,10.036,10.352,0,11.5645
           2020-09-26 19:04:00,1500,9.959,10.224,0,11.578
           2020-09-26 19:14:00,1510,9.807,10.065,0,11.5695
           2020-09-26 19:24:00,1520,9.635,9.888,0,11.592
           2020-09-26 19:34:00,1530,9.483,9.743,0,11.5785
           2020-09-26 19:44:00,1540,9.369,9.614,0,11.5385
           2020-09-26 19:54:00,1550,9.255,9.463,0,11.534
           2020-09-26 20:04:00,1560,9.152,9.346,0,11.5075
           2020-09-26 20:14:00,1570,9.053,9.218,0,11.4625
           2020-09-26 20:24:00,1580,8.975,9.112,0,11.449
           2020-09-26 20:34:00,1590,8.875,9.018,0,11.4225
           2020-09-26 20:44:00,1600,8.807,8.94,0,11.373
           2020-09-26 20:54:00,1610,8.742,8.856,0,11.342
           2020-09-26 21:04:00,1620,8.684,8.773,0,11.3105
           2020-09-26 21:14:00,1630,8.633,8.698,0,11.2745
           2020-09-26 21:24:00,1640,8.585,8.63,0,11.234
           2020-09-26 21:34:00,1650,8.525,8.569,0,11.207
           2020-09-26 21:44:00,1660,8.478,8.524,0,11.1665
           2020-09-26 21:54:00,1670,8.415,8.47,0,11.144
           2020-09-26 22:04:00,1680,8.384,8.425,0,11.099
           2020-09-26 22:14:00,1690,8.351,8.405,0,11.0315
           2020-09-26 22:24:00,1700,8.319,8.379,0,10.9775
           2020-09-26 22:34:00,1710,8.273,8.354,0,10.9145
           2020-09-26 22:44:00,1720,8.256,8.322,0,10.8605
           2020-09-26 22:54:00,1730,8.222,8.315,0,10.802
           2020-09-26 23:04:00,1740,8.215,8.303,0,10.7295
           2020-09-26 23:14:00,1750,8.17,8.275,0,10.693
           2020-09-26 23:24:00,1760,8.158,8.258,0,10.63
           2020-09-26 23:34:00,1770,8.145,8.249,0,10.589
           2020-09-26 23:44:00,1780,8.141,8.24,0,10.535
           2020-09-26 23:54:00,1790,8.127,8.222,0,10.489
           2020-09-27 00:04:00,1800,8.119,8.224,0,10.4395
           2020-09-27 00:14:00,1810,8.094,8.21,0,10.3985
           2020-09-27 00:24:00,1820,8.093,8.198,0,10.353
           2020-09-27 00:34:00,1830,8.076,8.196,0,10.321
           2020-09-27 00:44:00,1840,8.074,8.19,0,10.262
           2020-09-27 00:54:00,1850,8.065,8.192,0,10.2305
           2020-09-27 01:04:00,1860,8.08,8.183,0,10.189
           2020-09-27 01:14:00,1870,8.073,8.181,0,10.148
           2020-09-27 01:24:00,1880,8.08,8.187,0,10.1025
           2020-09-27 01:34:00,1890,8.069,8.172,0,10.0935
           2020-09-27 01:44:00,1900,8.058,8.179,0,10.0565
           2020-09-27 01:54:00,1910,8.048,8.164,0,10.057
           2020-09-27 02:04:00,1920,8.049,8.172,0,10.0385
           2020-09-27 02:14:00,1930,8.043,8.174,0,10.0065
           2020-09-27 02:24:00,1940,8.016,8.17,0,10.0115
           2020-09-27 02:34:00,1950,8.032,8.183,0,9.9925
           2020-09-27 02:44:00,1960,8.037,8.189,0,9.965
           2020-09-27 02:54:00,1970,8.015,8.178,0,9.956
           2020-09-27 03:04:00,1980,8.018,8.187,0,9.947
           2020-09-27 03:14:00,1990,8.014,8.184,0,9.924
           2020-09-27 03:24:00,2000,8.012,8.182,0,9.915
           2020-09-27 03:34:00,2010,8.007,8.189,0,9.91
           2020-09-27 03:44:00,2020,8.025,8.2,0,9.874
           2020-09-27 03:54:00,2030,8.006,8.201,0,9.869
           2020-09-27 04:04:00,2040,8.013,8.2,0,9.851
           2020-09-27 04:14:00,2050,8.004,8.204,0,9.823
           2020-09-27 04:24:00,2060,8.003,8.202,0,9.814
           2020-09-27 04:34:00,2070,8.01,8.198,0,9.8095
           2020-09-27 04:44:00,2080,8.005,8.2,0,9.782
           2020-09-27 04:54:00,2090,8.013,8.206,0,9.7545
           2020-09-27 05:04:00,2100,8.02,8.195,0,9.7455
           2020-09-27 05:14:00,2110,8.019,8.209,0,9.722
           2020-09-27 05:24:00,2120,8.037,8.208,0,9.7175
           2020-09-27 05:34:00,2130,8.009,8.214,0,9.7225
           2020-09-27 05:44:00,2140,8.044,8.209,0,9.681
           2020-09-27 05:54:00,2150,8.014,8.221,0,9.6905
           2020-09-27 06:04:00,2160,8.038,8.216,32.21944092,9.6855
           2020-09-27 06:14:00,2170,8.032,8.222,101.9309523,9.6765
           2020-09-27 06:24:00,2180,8.062,8.227,171.3243091,9.649
           2020-09-27 06:34:00,2190,8.046,8.222,240.2673545,9.635
           2020-09-27 06:44:00,2200,8.062,8.236,308.6287894,9.612
           2020-09-27 06:54:00,2210,8.066,8.238,376.2784223,9.5705
           2020-09-27 07:04:00,2220,8.083,8.242,443.0874174,9.5615
           2020-09-27 07:14:00,2230,8.093,8.252,508.9285396,9.52
           2020-09-27 07:24:00,2240,8.122,8.253,573.6763975,9.4925
           2020-09-27 07:34:00,2250,8.145,8.282,637.2076815,9.4645
           2020-09-27 07:44:00,2260,8.157,8.299,699.401399,9.4415
           2020-09-27 07:54:00,2270,8.196,8.325,760.1391048,9.419
           2020-09-27 08:04:00,2280,8.243,8.375,819.3051265,9.386
           2020-09-27 08:14:00,2290,8.313,8.443,876.7867851,9.3405
           2020-09-27 08:24:00,2300,8.355,8.499,932.4746093,9.354
           2020-09-27 08:34:00,2310,8.435,8.57,986.2625441,9.322
           2020-09-27 08:44:00,2320,8.527,8.661,1038.048153,9.303
           2020-09-27 08:54:00,2330,8.627,8.746,1087.732812,9.2525
           2020-09-27 09:04:00,2340,8.707,8.84,1135.2219,9.243
           2020-09-27 09:14:00,2350,8.841,8.996,1180.424975,9.234
           2020-09-27 09:24:00,2360,8.961,9.135,1223.255951,9.22
           2020-09-27 09:34:00,2370,9.068,9.233,1263.633257,9.192
           2020-09-27 09:44:00,2380,9.222,9.41,1301.479998,9.211
           2020-09-27 09:54:00,2390,9.419,9.63,1336.724095,9.271
           2020-09-27 10:04:00,2400,9.618,9.759,1369.298429,9.317
           2020-09-27 10:14:00,2410,9.789,9.993,1399.140963,9.4095
           2020-09-27 10:24:00,2420,9.888,10.161,1426.194863,9.4325
           2020-09-27 10:34:00,2430,10.043,10.355,1450.408606,9.506
           2020-09-27 10:44:00,2440,10.153,10.506,1471.73608,9.6075
           2020-09-27 10:54:00,2450,10.383,10.648,1490.136666,9.718
           2020-09-27 11:04:00,2460,10.578,10.863,1505.575322,9.814
           2020-09-27 11:14:00,2470,10.646,11.041,1518.022646,9.9375
           2020-09-27 11:24:00,2480,10.805,11.139,1527.454932,10.052
           2020-09-27 11:34:00,2490,10.884,11.252,1533.854218,10.107
           2020-09-27 11:44:00,2500,10.974,11.397,1537.208316,10.1935
           2020-09-27 11:54:00,2510,11.065,11.443,1537.510839,10.271
           2020-09-27 12:04:00,2520,11.173,11.558,1534.761212,10.326
           2020-09-27 12:14:00,2530,11.279,11.631,1528.96467,10.389
           2020-09-27 12:24:00,2540,11.345,11.702,1520.132254,10.4305
           2020-09-27 12:34:00,2550,11.433,11.799,1508.280784,10.476
           2020-09-27 12:44:00,2560,11.476,11.859,1493.432832,10.5665
           2020-09-27 12:54:00,2570,11.594,11.974,1475.616674,10.63
           2020-09-27 13:04:00,2580,11.686,12.057,1454.866241,10.8155
           2020-09-27 13:14:00,2590,11.817,12.046,1431.221052,10.973
           2020-09-27 13:24:00,2600,11.894,12.139,1404.726138,11.126
           2020-09-27 13:34:00,2610,11.993,12.258,1375.431958,11.324
           2020-09-27 13:44:00,2620,12.006,12.252,1343.394301,11.4855
           2020-09-27 13:54:00,2630,11.942,12.358,1308.674182,11.5035
           2020-09-27 14:04:00,2640,11.941,12.386,1271.337723,11.624
           2020-09-27 14:14:00,2650,11.946,12.477,1231.456031,11.713
           2020-09-27 14:24:00,2660,11.975,12.494,1189.105059,11.8155
           2020-09-27 14:34:00,2670,11.979,12.574,1144.365462,11.9005
           2020-09-27 14:44:00,2680,12.019,12.562,1097.322445,11.9935
           2020-09-27 14:54:00,2690,11.967,12.542,1048.065599,12.078
           2020-09-27 15:04:00,2700,11.994,12.604,996.6887326,12.1665
           2020-09-27 15:14:00,2710,11.978,12.591,943.2896902,12.251
           2020-09-27 15:24:00,2720,11.973,12.589,887.970168,12.331
           2020-09-27 15:34:00,2730,12.01,12.53,830.8355197,12.406
           2020-09-27 15:44:00,2740,12.042,12.533,771.9945557,12.441
           2020-09-27 15:54:00,2750,12.01,12.493,711.5593361,12.499
           2020-09-27 16:04:00,2760,11.997,12.402,649.6449569,12.5255
           2020-09-27 16:14:00,2770,11.977,12.376,586.3693314,12.5255
           2020-09-27 16:24:00,2780,11.896,12.27,521.8529652,12.521
           2020-09-27 16:34:00,2790,11.775,12.23,456.2187267,12.521
           2020-09-27 16:44:00,2800,11.708,11.989,389.5916134,12.481
           2020-09-27 16:54:00,2810,11.587,12.037,322.0985136,12.4905
           2020-09-27 17:04:00,2820,11.602,11.966,253.8679648,12.4905
           2020-09-27 17:14:00,2830,11.531,11.919,185.0299089,12.486
           2020-09-27 17:24:00,2840,11.476,11.867,115.7154447,12.4595
           2020-09-27 17:34:00,2850,11.451,11.793,46.05657843,12.4415
           2020-09-27 17:44:00,2860,11.353,11.516,0,12.428
           2020-09-27 17:54:00,2870,11.219,11.382,0,12.3975
           2020-09-27 18:04:00,2880,11.125,11.265,0,12.3445
           2020-09-27 18:14:00,2890,10.986,11.169,0,12.3
           2020-09-27 18:24:00,2900,10.823,11.06,0,12.2425
           2020-09-27 18:34:00,2910,10.718,10.918,0,12.1625
           2020-09-27 18:44:00,2920,10.562,10.768,0,12.092
           2020-09-27 18:54:00,2930,10.407,10.621,0,12.0165
           2020-09-27 19:04:00,2940,10.225,10.469,0,11.967
           2020-09-27 19:14:00,2950,10.025,10.331,0,11.896
           2020-09-27 19:24:00,2960,9.926,10.161,0,11.798
           2020-09-27 19:34:00,2970,9.757,10.01,0,11.7445
           2020-09-27 19:44:00,2980,9.603,9.854,0,11.686
           2020-09-27 19:54:00,2990,9.452,9.704,0,11.6285
           2020-09-27 20:04:00,3000,9.351,9.568,0,11.57
           2020-09-27 20:14:00,3010,9.25,9.449,0,11.4765
           2020-09-27 20:24:00,3020,9.169,9.352,0,11.4135
           2020-09-27 20:34:00,3030,9.088,9.253,0,11.3375
           2020-09-27 20:44:00,3040,9.02,9.156,0,11.261
           2020-09-27 20:54:00,3050,8.909,9.074,0,11.2115
           2020-09-27 21:04:00,3060,8.814,8.991,0,11.117
           2020-09-27 21:14:00,3070,8.775,8.926,0,11.0405
           2020-09-27 21:24:00,3080,8.712,8.859,0,10.973
           2020-09-27 21:34:00,3090,8.678,8.789,0,10.91
           2020-09-27 21:44:00,3100,8.605,8.741,0,10.838
           2020-09-27 21:54:00,3110,8.567,8.703,0,10.7565
           2020-09-27 22:04:00,3120,8.534,8.686,0,10.689
           2020-09-27 22:14:00,3130,8.505,8.637,0,10.6205
           2020-09-27 22:24:00,3140,8.486,8.601,0,10.5485
           2020-09-27 22:34:00,3150,8.455,8.568,0,10.48
           2020-09-27 22:44:00,3160,8.425,8.547,0,10.417
           2020-09-27 22:54:00,3170,8.4,8.523,0,10.3575
           2020-09-27 23:04:00,3180,8.376,8.514,0,10.2755
           2020-09-27 23:14:00,3190,8.351,8.496,0,10.2165
           2020-09-27 23:24:00,3200,8.357,8.477,0,10.157
           2020-09-27 23:34:00,3210,8.326,8.465,0,10.093
           2020-09-27 23:44:00,3220,8.278,8.454,0,10.034
           2020-09-27 23:54:00,3230,8.261,8.441,0,9.9745
           2020-09-28 00:04:00,3240,8.255,8.446,0,9.924
           2020-09-28 00:14:00,3250,8.266,8.425,0,9.874
           2020-09-28 00:24:00,3260,8.267,8.435,0,9.782
           2020-09-28 00:34:00,3270,8.238,8.434,0,9.75
           2020-09-28 00:44:00,3280,8.214,8.427,0,9.695
           2020-09-28 00:54:00,3290,8.211,8.419,0,9.644
           2020-09-28 01:04:00,3300,8.219,8.432,0,9.566
           2020-09-28 01:14:00,3310,8.219,8.425,0,9.5295
           2020-09-28 01:24:00,3320,8.209,8.419,0,9.4835
           2020-09-28 01:34:00,3330,8.218,8.413,0,9.451
           2020-09-28 01:44:00,3340,8.247,8.407,0,9.3955
           2020-09-28 01:54:00,3350,8.236,8.412,0,9.363
           2020-09-28 02:04:00,3360,8.229,8.422,0,9.317
           2020-09-28 02:14:00,3370,8.247,8.427,0,9.2475
           2020-09-28 02:24:00,3380,8.262,8.429,0,9.211
           2020-09-28 02:34:00,3390,8.248,8.442,0,9.1595
           2020-09-28 02:44:00,3400,8.255,8.451,0,9.137
           2020-09-28 02:54:00,3410,8.255,8.454,0,9.095
           2020-09-28 03:04:00,3420,8.273,8.458,0,9.0345
           2020-09-28 03:14:00,3430,8.273,8.472,0,8.9975
           2020-09-28 03:24:00,3440,8.289,8.479,0,8.951
           2020-09-28 03:34:00,3450,8.286,8.481,0,8.9185
           2020-09-28 03:44:00,3460,8.324,8.499,0,8.8345
           2020-09-28 03:54:00,3470,8.315,8.504,0,8.8305
           2020-09-28 04:04:00,3480,8.323,8.505,0,8.7785
           2020-09-28 04:14:00,3490,8.337,8.516,0,8.737
           2020-09-28 04:24:00,3500,8.357,8.519,0,8.6945
           2020-09-28 04:34:00,3510,8.377,8.53,0,8.6435
           2020-09-28 04:44:00,3520,8.385,8.53,0,8.611
           2020-09-28 04:54:00,3530,8.367,8.549,0,8.5735
           2020-09-28 05:04:00,3540,8.383,8.557,0,8.531
           2020-09-28 05:14:00,3550,8.373,8.572,0,8.475
           2020-09-28 05:24:00,3560,8.406,8.584,0,8.433
           2020-09-28 05:34:00,3570,8.394,8.587,0,8.419
           2020-09-28 05:44:00,3580,8.418,8.611,0,8.353
           2020-09-28 05:54:00,3590,8.443,8.621,0,8.3205
           2020-09-28 06:04:00,3600,8.457,8.629,22.76668452,8.2735
           2020-09-28 06:14:00,3610,8.473,8.645,92.44874048,8.2265
           2020-09-28 06:24:00,3620,8.485,8.652,161.808253,8.198
           2020-09-28 06:34:00,3630,8.453,8.662,230.7131308,8.1555
           2020-09-28 06:44:00,3640,8.483,8.682,299.0321482,8.1085
           2020-09-28 06:54:00,3650,8.512,8.694,366.6351955,8.057
