datetime,time_min,Loc_0m,Loc_86.4m,Loc_172.8m,Loc_259.2m,Loc_345.6m,Loc_432m,Loc_518.4m,Loc_604.8m
9/26/2020 12:00,0,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
9/26/2020 12:01,1,2.243581,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
9/26/2020 12:02,2,3.198818,2.567278525,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
9/26/2020 12:03,3,2.913833,2.87463705,2.723866137,2.870594,2.870594,2.870594,2.870594,2.870594
9/26/2020 12:04,4,1.915737,2.893007082,2.797697637,2.799614879,2.870594,2.870594,2.870594,2.870594
9/26/2020 12:05,5,2.670334,2.419823942,2.843974809,2.799121131,2.836258084,2.870594,2.870594,2.870594
9/26/2020 12:06,6,2.007555,2.54363912,2.638673451,2.821123188,2.818503012,2.853984114,2.870594,2.870594
9/26/2020 12:07,7,2.375587,2.285391586,2.593914125,2.732961803,2.820024719,2.836921741,2.862559022,2.870594
9/26/2020 12:08,8,2.400372,2.331489243,2.445809844,2.66633587,2.778085835,2.828922609,2.850206169,2.866707106
9/26/2020 12:09,9,2.23626,2.36639979,2.392285876,2.560535962,2.724426993,2.804505695,2.840019896,2.858748582
9/26/2020 12:10,10,2.206747,2.304577158,2.381442795,2.480455687,2.645775053,2.766051114,2.822980768,2.849753767